1,BITCOIN,47778.35,904.921958 B
2,WRAPPED BITCOIN,47763.674,12.951598 B
3,HUOBI BTC ,47550.143,1.8963 B
4,ETHEREUM,3229.538,385.54224 B
5,LIDO STAKED ETHER ,3228.603,5.779199 B
6,MAKER ,2547.625,2.2962 B
7,BINANCE COIN ,478.053,80.379887 B
8,BITCOIN CASH ,363.131,6.888599 B
9,KUSAMA ,201.114,1.806 B
10,MONERO ,184.898,3.341099 B
11,AAVE,184.559,2.4897 B
12,ELROND,175.193,3.586199 B
13,LITECOIN ,135.623,9.429899 B
14,SOLANA ,116.391,36.674694 B
15,QUANT ,115.436,1.548 B
16,DASH ,115.097,1.215425 B
17,ZCASH,115.427,1.3932 B
18,BITCOIN SV ,114.244,2.1672 B
19,AVALANCHE,83.96,20.562597 B
20,AXIE INFINITY,65.362,4.643999 B
21,CETH,64.772,3.998999 B
22,TERRA,56.631,22.691096 B
23,FTX TOKEN,51.697,7.146599 B
24,ARWEAVE,45.566,2.2833 B
25,HELIUM,34.771,3.495899 B
26,COSMOS,33.462,9.610498 B
27,CONVEX FINANCE,32.871,1.5867 B
28,ETHEREUM CLASSIC,31.316,4.153799 B
29,OKB,26.666,7.004699 B
30,"
FILECOIN",24.769,3.844199 B
31,NEO,24.509,1.7286 B
32,INTERNET COMPUTER,24.305,4.837499 B
33,POLKADOT,22.348,24.135896 B
34,KUCOIN TOKEN,21.773,1.6641 B
35,CHAINLINK,21.628,10.100698 B
36,UNISWAP,13.424,6.075899 B
37,NEAR,13.129,8.255999 B
38,BITKUB COIN,12.312,1.092681 B
39,HUOBI TOKEN,11.608,1.8189 B
40,WAVES,11.246,1.124609 B
41,PANCAKESWAP,9.415,2.5413 B
42,OSMOSIS,8.828,2.5155 B
43,GATETOKEN,8.783,1.3803 B
44,FLOW,8.638,2.7477 B
45,KADENA,7.202,1.208691 B
46,SYNTHETIX NETWORK TOKEN,6.599,1.3287 B
47,THE SANDBOX,4.978,4.605299 B
48,THORCHAIN,4.976,1.4964 B
49,LEO TOKEN,78.029,73.142989 B
50,TEZOS,4.113,3.599099 B
51,CURVE DAO TOKEN,3.851,1.5093 B
52,CELO,3.799,1.4706 B
53,THETA NETWORK,3.535,3.534599 B
54,DECENTRALAND,3.318,5.043899 B
55,CELSIUS NETWORK,3.29,1.3932 B
56,EOS,2.888,2.838 B
57,FANTOM,2.499,6.346799 B
58,NEXO,2.295,1.285304 B
59,ENJIN COIN,2.264,2.1156 B
60,POLYGON,1.992,13.686898 B
61,STACKS,1.867,1.9608 B
62,POCKET NETWORK,1.753,1.221733 B
63,KLAYTN,1.496,3.934499 B
64,CARDANO,1.311,42.041093 B
65,PAX DOLLAR,1.303,1.3416 B
66,TRUEUSD,1.29,1.935 B
67,FRAX,1.295,3.418499 B
68,DAI,1.293,11.816398 B
69,TERRAUSD,1.292,14.564098 B
70,BINANCE USD,1.293,19.375797 B
71,USD COIN,1.294,64.44839 B
72,TETHER,1.292,100.955384 B
73,MAGIC INTERNET MONEY,1.28,5.018099 B
74,LOOPRING,1.218,1.5222 B
75,ALGORAND,1.182,7.739999 B
76,BASIC ATTENTION TOKEN,1.065,1.5867 B
77,IOTA,1.026,2.8509 B
78,XRP,0.755,36.055494 B
79,CRYPTO.COM COIN,0.523,13.209598 B
80,THE GRAPH,0.494,3.0444 B
81,OASIS NETWORK,0.388,1.3545 B
82,HEDERA,0.273,5.159999 B
83,STELLAR,0.249,6.179099 B
84,GALA,0.238,1.7931 B
85,HARMONY,0.227,2.6574 B
86,CHILIZ,0.227,1.209917 B
87,THETA FUEL,,2.4381 B
88,RADIX,0.214,2.0898 B
89,DOGECOIN,0.177,23.542496 B
90,NEM,0.127,1.147197 B
91,TRON,0.074,7.494899 B
92,VECHAIN,0.066,4.398899 B
93,AMP,0.037,1.7673 B
94,CUSDC,0.029,2.8767 B
95,CDAI,0.028,3.392699 B
96,ECOMI,0.009,5.147099 B
97,BITTORRENT,0.003,2.6316 B
98,SAFEMOON,0.002,1.204383 B
99,ECASH,0,1.806 B
100,SHIBA INU,0,14.538298 B
